species,d13C,d15N,sample_TAG,zone,season,grp,labels,source,md13C
Abra_alba,-19.308567255719442,8.372206067819599,ABRAALB_47_D1309,Embouchure,Printemps,Bivalves,Abra a.,CAPES,19.308567255719442
Abra_alba,-19.383997461632053,8.760975371489367,ABRAALB_52_D1311,Embouchure,Printemps,Bivalves,Abra a.,CAPES,19.383997461632053
Abra_alba,-19.219460937696525,7.160461830469428,ABRAALB_52_D1315,Embouchure,Printemps,Bivalves,Abra a.,CAPES,19.219460937696525
Abra_alba,-20.304077794984025,7.034930973495545,ABRAALB_CAPES2_D1390,Embouchure,Printemps,Bivalves,Abra a.,CAPES,20.304077794984025
Abra_alba,-18.55861333497305,9.704868631338588,ABRAALB_47_D1463,Embouchure,Automne,Bivalves,Abra a.,CAPES,18.55861333497305
Abra_alba,-18.141515747415433,9.402113674053176,ABRAALB_52_D1445,Embouchure,Automne,Bivalves,Abra a.,CAPES,18.141515747415433
Abra_alba,-18.507849762400287,9.16996055218381,ABRAALB_52_D1446,Embouchure,Automne,Bivalves,Abra a.,CAPES,18.507849762400287
Abra_alba,-17.38330795467541,10.543859941161813,ABRAALB_CAPES1_D1357,Embouchure,Automne,Bivalves,Abra a.,CAPES,17.38330795467541
Cerastoderma_edule,-22.685485573103097,8.62763104822696,CERSEDU_12_D1469,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,22.685485573103097
Cerastoderma_edule,-22.27078876077182,9.451504127026709,CERSEDU_12_D1543,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,22.27078876077182
Cerastoderma_edule,-22.7207840138282,8.779053640590552,CERSEDU_19_D1391,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,22.7207840138282
Cerastoderma_edule,-21.513585008461497,9.841521487811077,CERSEDU_19_D1412,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,21.513585008461497
Cerastoderma_edule,-21.26668441419696,8.25226511148574,CERSEDU_26_D1507,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,21.26668441419696
Cerastoderma_edule,-20.426609819196436,9.20311829558499,CERSEDU_26_D1508,Fosse sud,Printemps,Bivalves,Cerastoderma e.,CAPES,20.426609819196436
Cerastoderma_edule,-20.250294432178187,9.545670598791475,CERSEDU_8_D1482,Fosse Nord,Printemps,Bivalves,Cerastoderma e.,CAPES,20.250294432178187
Cerastoderma_edule,-19.88091263549451,10.278812556904978,CERSEDU_8_D1483,Fosse Nord,Printemps,Bivalves,Cerastoderma e.,CAPES,19.88091263549451
Cerastoderma_edule,-22.359043292369176,9.922990329106318,CERSEDU_12_D1354,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,22.359043292369176
Cerastoderma_edule,-21.639189055662854,9.501764551263228,CERSEDU_19_D1348,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,21.639189055662854
Cerastoderma_edule,-20.673341302041344,10.048462680746184,CERSEDU_19_D1500,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,20.673341302041344
Cerastoderma_edule,-19.790963386072942,9.749770853070157,CERSEDU_26_D1350,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,19.790963386072942
Cerastoderma_edule,-19.108796606532326,10.017049003720501,CERSEDU_26_D1502,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,19.108796606532326
Cerastoderma_edule,-19.5562901835328,10.427046661084109,CERSEDU_59_D1347,Fosse sud,Automne,Bivalves,Cerastoderma e.,CAPES,19.5562901835328
Corbula_gibba,-17.802657881817737,8.553080200644597,CORUGIB_50_D1452,Embouchure,Automne,Bivalves,Corbula g.,CAPES,17.802657881817737
Corbula_gibba,-17.638353469864487,10.024675061161194,CORUGIB_CAPES1_D1366,Embouchure,Automne,Bivalves,Corbula g.,CAPES,17.638353469864487
Crangon_crangon,-17.684070812770162,14.712037926006953,CRAGCRA_26_D1520,Fosse sud,Automne,Crustaces,Crangon c.,CAPES,17.684070812770162
Crangon_crangon,-17.449946168436362,14.211074823518857,CRAGCRA_59_D1529,Fosse sud,Automne,Crustaces,Crangon c.,CAPES,17.449946168436362
Ensis_directus,-19.746865016349755,9.126029726996826,ENSIDIR_19_D1569,Fosse sud,Automne,Bivalves,Ensis d.,CAPES,19.746865016349755
Ensis_directus,-19.1706731120201,9.645139449756257,ENSIDIR_26_D1573,Fosse sud,Automne,Bivalves,Ensis d.,CAPES,19.1706731120201
Ensis_directus,-18.901922281290005,9.731513681860884,ENSIDIR_59_D1572,Fosse sud,Automne,Bivalves,Ensis d.,CAPES,18.901922281290005
Ensis_directus,-18.310060798088973,11.515910865637242,ENSIDIR_CAPES3_D1571,Fosse sud,Automne,Bivalves,Ensis d.,CAPES,18.310060798088973
Hediste_diversicolor,-19.042678446489152,13.58958187374565,HEDIDIV_14_D1556,Fosse Nord,Automne,Polychetes,Hediste d.,CAPES,19.042678446489152
Lagis_koreni,-22.59327103907108,11.806617117421986,LAGIKOR_59_D1393,Fosse sud,Printemps,Polychetes,Lagis k.,CAPES,22.59327103907108
Lagis_koreni,-20.604803872424277,10.90664389713741,LAGIKOR_47_D1462,Embouchure,Automne,Polychetes,Lagis k.,CAPES,20.604803872424277
Lagis_koreni,-19.65540902210099,10.851966280220473,LAGIKOR_52_D1441,Embouchure,Automne,Polychetes,Lagis k.,CAPES,19.65540902210099
Lagis_koreni,-17.866193175690356,12.316374165500973,LAGIKOR_CAPES1_D1368,Embouchure,Automne,Polychetes,Lagis k.,CAPES,17.866193175690356
Lagis_koreni,-19.81233861457331,11.185874122669764,LAGIKOR_19_D1351,Fosse sud,Automne,Polychetes,Lagis k.,CAPES,19.81233861457331
Lagis_koreni,-20.633306716785498,11.551558578919554,LAGIKOR_26_D1523,Fosse sud,Automne,Polychetes,Lagis k.,CAPES,20.633306716785498
Lagis_koreni,-20.567543327813482,10.899464726838518,LAGIKOR_59_D1418,Fosse sud,Automne,Polychetes,Lagis k.,CAPES,20.567543327813482
Lagis_koreni,-19.01298950804186,11.223168466702276,LAGIKOR_CAPES3_D1503,Fosse sud,Automne,Polychetes,Lagis k.,CAPES,19.01298950804186
Lanice_conchilega,-20.11752872030122,11.4036908853248,LANICON_19_D1355,Fosse sud,Automne,Polychetes,Lanice c.,CAPES,20.11752872030122
Limecola_balthica,-17.895952745177997,10.805225043659526,LIMEBAL_12_D1414,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,17.895952745177997
Limecola_balthica,-18.836989075442446,10.609904584656423,LIMEBAL_12_D1514,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,18.836989075442446
Limecola_balthica,-19.316847506615066,10.429491330293693,LIMEBAL_19_D1451,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,19.316847506615066
Limecola_balthica,-19.79705135830409,9.100810433523712,LIMEBAL_26_D1409,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,19.79705135830409
Limecola_balthica,-19.627769785513376,9.258258177214723,LIMEBAL_59_D1397,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,19.627769785513376
Limecola_balthica,-19.179120151082824,9.341716712281984,LIMEBAL_59_D1402,Fosse sud,Printemps,Bivalves,Limecola b.,CAPES,19.179120151082824
Limecola_balthica,-20.129103687795915,11.274453284600284,LIMEBAL_2_D1478,Fosse Nord,Printemps,Bivalves,Limecola b.,CAPES,20.129103687795915
Limecola_balthica,-19.852286580880033,11.626959747405419,LIMEBAL_2_D1479,Fosse Nord,Printemps,Bivalves,Limecola b.,CAPES,19.852286580880033
