zone,season,sample_TAG
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
Embouchure,2017-06-01T00:00:00Z,0617 Pool EM Soles G0
