grp,season,zone,d13C,d15N
G0,Automne,CH,-20.37,15.31
G0,Automne,CH,-20.14,15.31
G0,Automne,CH,-19.91,15.67
G0,Automne,CH,-20.05,14.93
G0,Automne,CH,-20.22,15.13
G0,Automne,CH,-18.73,13.89
G0,Automne,CH,-18.33,14.6
G0,Automne,CH,-18.32,14.35
G0,Automne,CH,-18.24,14.41
G0,Automne,CH,-18.52,14.64
G0,Automne,CH,-18.31,14.58
G0,Automne,CH,-18.33,14.35
G0,Automne,CH,-21.04,15.72
G0,Automne,EMB,-17.12,14.02
G0,Automne,EMB,-17.26,14.09
G0,Automne,EMB,-17.15,14.36
G0,Automne,EMB,-17.53,13.23
G0,Automne,EMB,-17.1,13.46
G0,Automne,EMB,-16.41,14.76
G0,Automne,EMB,-16.82,13.7
G0,Automne,EMB,-17.49,13.63
G0,Automne,EMB,-16.67,13.15
G0,Automne,EMB,-17.25,13.29
G0,Automne,EMB,-16.85,12.9
G0,Automne,EMB,-17.96,14.04
G0,Automne,FN,-18.46,14.6
G0,Automne,FN,-18.36,14.43
G0,Automne,FN,-18.3,14.3
G0,Automne,FN,-18.14,13.9
G0,Automne,FN,-14.47,17.16
G0,Automne,FN,-18.54,14.19
G0,Automne,FN,-18.35,13.74
G0,Automne,FN,-18.59,13.84
G0,Automne,FN,-18.29,13.88
G0,Automne,FN,-18.6,13.44
G0,Automne,FN,-18.49,14.21
G0,Automne,FN,-18.15,13.72
G0,Automne,FS,-18.08,13.76
G0,Automne,FS,-18.33,13.63
G0,Automne,FS,-18.29,13.69
G0,Automne,FS,-18.08,13.69
G0,Automne,FS,-18.35,13.16
G0,Automne,FS,-18.22,13.26
G0,Automne,FS,-18.18,13.37
G0,Automne,FS,-17.89,13.68
G0,Automne,FS,-18.46,13.38
G0,Automne,FS,-18.38,13.38
G0,Automne,FS,-16.8,13.74
G1,Automne,CH,-19.14,15.64
G1,Automne,CH,-18.36,14.65
G1,Automne,CH,-17.31,14.65
G1,Automne,EMB,-16.86,13.22
G1,Automne,EMB,-17.75,13.33
G1,Automne,EMB,-17.2,13.11
G1,Automne,EMB,-17.32,13.53
G1,Automne,EMB,-17.26,13.07
G1,Automne,EMB,-17.37,13.06
G1,Automne,EMB,-17.25,13.15
G1,Automne,EMB,-17.22,13.52
G1,Automne,EMB,-17.29,12.68
G1,Automne,EMB,-17.34,13.26
G1,Automne,EMB,-18.32,13.91
G1,Automne,EMB,-18.21,14.05
